id,name,sex,height,weight,team
115793,Michala Strnadov-Mrzkov,F,162,58,Czech Republic
115794,Jlius Strnisko,M,188,102,Czechoslovakia
115795,Eric Martin Strobel,M,178,79,United States
115796,Martin Strobel,M,189,90,Germany
115797,Mrcis trobinders,M,186,85,Latvia
115798,Rolands trobinders,M,190,103,Latvia
115799,Gaston M. Strobino,M,160,50,United States
115800,Claudia Strobl,F,165,63,Austria
115801,Fritz Strobl,M,187,95,Austria
115802,Georg Strobl,M,,,Germany
115803,Jochen Strobl,M,175,63,Italy
115804,Gijze Stroboer,M,192,87,Netherlands
115805,Attila Strochmayer (Strohmayer),M,187,84,Hungary
115806,tefan Strck,M,,,Romania
115807,Albert Strck-Trk,M,,,Romania
115808,Wolfgang Strdter,M,174,72,West Germany
115809,Silvia Alexandra Stroescu,F,156,48,Romania
115810,"Willem ""Wim"" Stroetinga",M,176,70,Netherlands
115811,Vadim Sergeyevich Strogalyev,M,183,76,Russia
115812,Yuliyan Mikhaylov Strogov,M,170,53,Bulgaria
115813,Helga Stroh,F,182,64,Germany
115814,Rainer Strohbach,M,182,78,East Germany
115815,Ernst Roland Strhm,M,,,Sweden
115816,Arno Strohmeyer,M,190,73,Austria
115817,Nataliya Yevhenivna Strohova,F,169,65,Ukraine
115818,Ulrich Strohschneider,M,190,90,Austria
115819,Nicu Florin Stroia (-Gassenheimer),M,,,Romania
115820,Mantas Strolia,M,179,77,Lithuania
115821,Vytautas Strolia,M,194,83,Lithuania
115822,Kazimiera Strolien,F,163,58,Lithuania
115823,Hubert Strolz,M,182,76,Austria
115824,Anders Strm,M,,,Sweden
115825,Anton Gotthard Strm,M,,,Sweden
115826,Leif Bertil Strm,M,182,86,Sweden
115827,Frank Gran Strm,M,189,77,Sweden
115828,Sven Gunnar Strm,M,,,Sweden
115829,Jim Stefan Strm,M,170,48,Sweden
115830,Carin Strmberg,F,184,83,Sweden
115831,Malin Maria Birgitta Strmberg,F,165,59,Sweden
115832,Mika Juhani Strmberg,M,182,84.5,Finland
115833,Sven Emil Strmberg,M,176,73,Sweden
115834,Lennart Thorvald Strmberg,M,,,Finland
115835,Lily Elisabeth Strmberg-von Essen,F,,,Sweden
115836,Mris trombergs,M,186,90,Latvia
115837,Zuzana Stromkov,F,171,61,Slovakia
115838,Mia Marianne Strmmer,F,171,75,Finland
115839,Antnio Stromp,M,,,Portugal
115840,Anna-Karin Elisabet Strmstedt,F,173,64,Sweden
115841,"F. Calvert ""Cal"" Strong",M,,,United States
115842,"Harley de Witt ""Doc"" Strong, Jr.",M,,,United States
115843,Irene Strong,F,,,Canada
115844,"Judith Ann ""Judy"" Strong",F,172,66,United States
115845,"Kenneth ""Ken"" Strong",M,180,83,Austria
115846,Lori Gail Strong (-Ballard),F,157,52,Canada
115847,Peter Strong,M,172,67,Great Britain
115848,Shirley Elaine Strong,F,173,63,Great Britain
115849,Karen Ann Strong-Hearth,F,171,58,Canada
115850,"Hendrik Pieter ""Harry"" Stroo",M,,,Netherlands
115851,"Johanna Margaretha ""Jo"" Stroomberg (-Roele)",F,,,Netherlands
115852,Eberhard Stroot,M,182,78,West Germany
115853,Ellen Strophal-Streidt (-Wendland-),F,168,55,East Germany
115854,Annabella Stropparo,F,162,50,Italy
115855,Erika Strenreuther (-Gernandt),F,174,66,Germany
115856,"John Mantz Strotbeck, III",M,188,84,United States
115857,Johanna Strotzer (Kuhfu-),F,172,59,East Germany
115858,Panagiotis Stroubakos,M,187,72,Greece
115859,Grzegorz Strouhal,M,182,80,Poland
115860,Andrew George Stroukoff,M,,,United States-3
115861,John Anthony Strover,M,,,Great Britain
115862,Esther Stroy (-Fair),F,160,48,United States
115863,"Johan Hendrik ""Jan"" Strube",M,,,Netherlands
115864,Simon Strbin,M,181,73,Switzerland
115865,Christine Strbing,F,172,62,East Germany
115866,Yelena Struchayeva,F,156,86,Kazakhstan
115867,Robert Felix Struckl,M,,,Austria
115868,Gunnar Struckmann,M,188,76,Germany
115869,Jan-Lennard Struff,M,196,87,Germany
115870,Kerri Allyson Strug (-Fischer),F,142,37,United States
115871,Karel Struijs,M,,,Netherlands
115872,Silvia Strukel (-Gentili),F,,,Italy
115873,Marjan trukelj,M,183,70,Slovenia
115874,Hans Soelberg Struksns,M,,,Silja
115875,"Sidney ""Cy"" Strulovitch",M,,,Canada
115876,Antoaneta Ivanova Strumenlieva,F,173,57,Bulgaria
115877,Maria Antonietta Rita Strumolo,F,163,59,Italy
115878,Helmut Strumpf,M,162,62,East Germany
115879,Josef Struna,M,,,Czechoslovakia
115880,Jean Strunc,M,,,France
115881,Stanislav trunc,M,185,82,Czechoslovakia
115882,Vra truncov (Linhartov-),F,175,66,Czechoslovakia
115883,Ioana Strungaru (Crciun-),F,180,77,Romania
115884,Nataliya Gennadyevna Strunnikova,F,182,67,Soviet Union
115885,Ernst Strupler (-Wespi),M,,,Switzerland
115886,Brbel Struppert (Schrickel-),F,158,50,East Germany
115887,Nicole Sandra Struse,F,170,62,Germany
115888,"Edward Lisle ""Bill"" Strutt",M,,,Great Britain
115889,Faye Strutt (-Marshall),F,154,54,Canada-2
115890,Gerhard Strutz,M,,,Austria
115891,Hermann Strutz,M,170,73,Austria
115892,Martina Strutz,F,159,58,Germany
115893,Vladimir Vasilyevich Struzhanov,M,,,Soviet Union
115894,Hans Struzyna,M,188,91,United States
115895,Barbora Strcov (-Zhlavov),F,164,60,Czech Republic
115896,Trevor Strydom,M,,,South Africa
115897,Thorstein Thomassen Stryken,M,,,Norway
115898,Dmitry Strykov,M,185,90,Uzbekistan
115899,Franciszek Strynkiewicz,M,,,Poland
115900,Marius Strzalka,M,186,84,Poland
115901,"Thomas Paul ""Tom"" Strzalkowski",M,183,75,United States
115902,Jerzy Jzef Strzaka,M,185,88,Poland
115903,Mieczysaw Jzef Strzaka,M,174,72,Poland
115904,Marceli Konrad Strzykalski,M,172,78,Poland
115905,Johan Christian Strm,M,183,90,Norway
115906,Einar Johan Strm,M,,,Norway
115907,Harald Aleksander Strm,M,,,Norway
115908,Jan-Axel Strm,M,180,74,Norway
115909,Michael Kisby Strm (-Jensen),M,191,90,Denmark
115910,Roger Strm,M,180,75,Norway
115911,Rolf Greger Strm,M,184,72,Norway
115912,Ole Christian Strmberg,M,189,94,Norway
115913,Frank Juul Strmbo,M,181,110,Denmark
115914,Hjalmar Strmme,M,,,Norway
115915,Nils Dag Strmme,M,170,57,Norway
115916,Nora Strmstad,F,,,Norway
115917,Thoralf Strmstad,M,,,Norway
115918,Lars Ove Strm,M,174,58,Norway
115919,Angus Stuart,M,,,Australia-2
115920,Vincent Anthony Stuart,M,,,Great Britain
115921,Barry Kenneth Stuart,M,169,72,Australia
115922,Bianca Stuart,F,,,Bahamas
115923,Charles Syme Stuart,M,,,Australia
115924,Dorothy Margaret Stuart Browne,F,,,Great Britain
115925,Douglas Cecil Rees Stuart,M,,71,Cambridge University Boat Club-2
115926,John Stuart,M,,67,Canada
115927,Katherine Louise Stuart,F,169,60,Great Britain
115928,Margaret Fiona Stuart (-Wall),F,,,New Zealand
115929,Marian Stuart (-Johnson),F,160,50,Canada
115930,"Wray ""Nik"" Stuart",M,163,65,Great Britain
115931,"Ronald A. ""Ron"" Stuart",M,,,Canada
115932,Christian Stubbe,M,183,60,Germany
115933,Ludwig Fritz Ernst Stubbendorff,M,,,Germany
115934,Simeon Stubblefield,M,,,Liberia
115935,Constance Lorraine Stubbs,F,160,55,Canada
115936,Norris Stubbs,M,173,68,Bahamas
115937,Rennae Stubbs,F,178,65,Australia
115938,Robert Stubbs,M,183,81,Canada
115939,"Frank Raymond Stubbs, Jr.",M,,,United States
115940,Friedrich August Bernhard Stbecke,M,,,Germany
115941,Werner Mortimer Stuber,M,,,Switzerland
115942,Lisa Christina Stubli,F,158,44,Croatia
115943,"Christa Stubnick (Seliger-, -Fischer)",F,159,52,Germany
115944,Conrad Stucheli,M,,,Switzerland
115945,Karol Stuchlk,M,180,65,Slovakia-2
115946,Mojmr Stuchlk,M,,,Czechoslovakia
115947,Christine Stckelberger,F,162,48,Switzerland
115948,Henri Stuckmann,M,,,France
115949,"Jennifer ""Jenn"" Stuczynski-Suhr",F,183,66,United States
115950,Eugen F Studach,M,,,Switzerland
115951,Martin Andreas Studach,M,183,84,Switzerland
115952,Walter William Stude,M,185,95,United States
115953,Sara Studebaker (-Hall),F,168,59,United States
115954,Albert Stdemann,M,,,Germany
115955,Drte Stdemann,F,170,59,East Germany
115956,Mikhail Vladimirovich Studenetsky,M,,,Soviet Union
115957,Katarna Studenkov,F,172,63,Slovakia
115958,Klavdiya Viktorinva Studennikova,F,172,56,Soviet Union
115959,"Arthur Addison ""Art"" Studenroth",M,,,United States
115960,Emil Studer,M,,,Switzerland
115961,Hans Studer,M,,,Switzerland
115962,Jean-Ernst Studer,M,,,Switzerland
115963,Max Studer,M,,,Switzerland
115964,Robert Studer,M,,,Switzerland
115965,Thomas Studhalter,M,193,87,Switzerland
115966,Catur Mei Studi,M,160,60,Indonesia
115967,Theodore Frederick Ted Studier,M,,,United States
115968,Marina Guryevna Studneva (Babenko-),F,182,80,Soviet Union
115969,"Johann ""Jan"" Studnicka",M,,,Austria
115970,Milan Studnika,M,186,100,Czech Republic
115971,Svend Erik Studsgaard,M,188,98,Denmark
115972,"Jeffrey ""Jeff"" Stuebing",M,180,74,Canada
115973,Philipp Ster,M,195,93,Germany
115974,Lisbet Stuer-Lauridsen,F,,,Denmark-1
115975,Thomas Stuer-Lauridsen,M,191,78,Denmark
115976,Fritz Stuessi,M,169,62,Switzerland
115977,Livio Stuffer,M,167,66,Italy
115978,Verena Stuffer,F,168,65,Italy
115979,Rutger Stuffken,M,171,50,Netherlands
115980,Judit Stugner (-Abahzi),F,175,84,Hungary
115981,Ilka tuhec,F,172,72,Slovenia
115982,"Heinrich ""Heiner"" Stuhlfauth",M,,,Germany
115983,Fritz Sthlinger,M,,,Switzerland
115984,Jodie Stuhmcke,F,180,75,Australia
115985,Dmitry Pavlovich Stukalov,M,186,76,Soviet Union
115986,Tatyana Sergeyevna Stukalova,F,160,63,Belarus
115987,Aleksey Vitalyevich Stukalsky,M,180,,Russia
115988,Leon tukelj,M,,,Yugoslavia
115989,Ivar Stukolkin,M,189,77,Soviet Union
115990,George William Stulac,M,170,70,Canada
115991,Joseph Stulac,M,183,83,Canada
115992,"Michael Duane ""Mike"" Stulce",M,191,123,United States
115993,Peter Christian Stlcken,M,184,83,West Germany
115994,Viktor Yuryevich Stulikov,M,189,83,Soviet Union
115995,Helena Stulikov,F,,,Czechoslovakia
115996,"Robert Ernest ""Rob"" Stull",M,185,70,United States
115997,Niklaus Stump,M,,,Switzerland
115998,Silvia Stump,F,157,50,Switzerland
115999,Jozef Stmpel,M,190,100,Slovakia
116000,Erich Stumpf,M,,,Austria
116001,Johan Leopold Stumpf,M,173,,Norway
116002,Remig Stumpf,M,193,88,West Germany
116003,Jeanne Georgette Stunyo (-Korpak),F,157,54,United States
116004,Giani Stparich,M,,,Italy
116005,"Douglas Annesley David ""Doug"" Stupart",M,,,South Africa
116006,Roman Stupnicki,M,,,Poland
116007,Howard Michael Stupp,M,172,66,Canada
116008,Daryl Roy Sturdy,M,198,86,Canada
116009,Hanns Strer,M,,,Austria-1
116010,David Philip Sturge,M,194,87,Great Britain
116011,Natasha Sturges,F,163,57,Australia
116012,Colin Andrew Sturgess,M,180,77,Great Britain
116013,Peter Johnson Sturholdt,M,,,United States
116014,Grard Sturla,M,175,,France
116015,August Sturm,M,,,Austria
116016,Claudia Sturm,F,166,59,West Germany
116017,Marco Johann Sturm,M,180,90,Germany
116018,Ronja Fini Sturm,F,165,55,Germany
116019,Simon Strm,M,185,83,Switzerland
116020,"Wilhelm ""Willi"" Sturm",M,,,Germany
116021,"Alfred ""Fred"" Strmer",M,180,71,Luxembourg
116022,Norbert Sturny,M,190,87,Switzerland
116023,Daniel Andre Sturridge,M,188,76,Great Britain
116024,"John Duncan ""Jan"" Sturrock",M,,,Great Britain
116025,"Alexander Stuart ""Jock"" Sturrock",M,180,92,Moorina
116026,Chandra Lavon Sturrup,F,163,61,Bahamas
116027,Caroline Sturzenegger (-Schwegler),F,160,53,Switzerland
116028,Paul Sturzenegger,M,,,Switzerland
116029,Radka tuskov,F,172,63,Czech Republic
116030,"Edward ""Eddy"" Stutterheim",M,,,Starita
116031,Erwin Sttz,M,182,70,Switzerland
116032,Christian Sttzinger,M,189,79,West Germany
116033,Monika Sttzle,F,166,62,West Germany
116034,Khrystyna Petrivna Stuy,F,168,60,Ukraine
116035,Franois Stuyck,M,,,Belgium
116036,Zdenk tybar,M,183,72,Czech Republic
116037,Bjrn Stybert,M,,,Denmark
116038,Zdzisaw Witold Stycze,M,167,74,Poland
116039,Erik Styf,M,,,Sweden
116040,Nadia Styger (-Hrlimann),F,171,70,Switzerland
116041,Ludk tyks,M,168,60,Czechoslovakia
116042,Hugh Styles,M,185,79,Great Britain
116043,"Joseph ""Joe"" Styles",M,188,78,Bahamas
116044,William Kensett Styles,M,,,Great Britain
116045,Anna Stylianou,F,172,55,Cyprus
116046,Petter Erik Stymne,M,195,81,Sweden
116047,Joseph Louis Stynen,M,,,Belgium
116048,Yury Viktorovich Styopkin,M,193,100,Russia
116049,Dmitry Fyodorovich Styopushkin,M,185,96,Russia-1
116050,Andrzej Jzef Stypiski,M,,,Poland
116051,Stanisaw Styrczula,M,171,74,Poland
116052,Christian John Styren,M,176,73,Norway
116053,Svetlana Pavlovna Styrkina (-Moshchenok),F,168,61,Soviet Union
116054,Karen-Sofie Styrmoe (-Oseid),F,,,Norway
116055,Emil Christian Str,M,198,95,Denmark
116056,Johan Hostvet Sta,M,,,Norway
116057,Heidi Elin Stre,F,176,67,Norway
116058,Steffen Skr Strseth,M,187,92,Norway
116059,Su Bingtian,M,173,70,China
116060,Su Chun-Yueh,F,174,54,Chinese Taipei
116061,Su He,M,,,China
116062,Su Hui,M,190,95,China
116063,Su Huijuan,F,179,72,China
116064,Su Li-Wen,F,171,57,Chinese Taipei
116065,Su Liqun,F,177,74,China
116066,Su Po-Tai,M,184,72,Chinese Taipei
116067,Su Rifeng,M,175,76,China
116068,Su Wanwen,F,168,56,China
116069,Su Wen-Ho,M,172,67,Chinese Taipei
116070,Su Xiaohua,F,,,China
116071,Su Xinyue,F,178,94,China
116072,Su Yiping,F,172,64,China
116073,Su Yuling,F,158,50,China
116074,Derek Sua,M,,,Samoa
116075,Seilala Mang Sua,F,187,109,United States
116076,"Christopher ""Chris"" Sua'mene",M,186,87,Samoa
116077,Jamil Suaiden,M,182,70,Brazil
116078,Iloai Suaniu,F,178,68,Samoa
116079,Abraham Surez,M,182,72,Ecuador
116080,Alejandro Surez Velzquez,M,176,66,Mexico
116081,Osvaldo Juan Ariel Surez,M,190,94,Argentina
116082,Carla Surez Navarro,F,162,62,Spain
116083,Carlos Suarez,M,158,,Trinidad and Tobago
116084,Sergio Casimiro Surez Aime,M,178,75,Cuba
116085,Charly Coronel Suarez,M,168,60,Philippines
116086,Cirilo Surez Gonzlez,M,188,89,Cuba
116087,Claudio Surez Snchez,M,181,75,Mexico
116088,Eddy Surez Edua,M,173,57,Cuba
116089,Emilio Leocadio Surez Agreda,M,185,102,Venezuela
116090,Erminio Antonio Surez Gauna,M,182,72,Argentina
116091,"Mara Evangelina ""Eva"" Surez Garca",F,153,47,Spain
116092,Flix Surez Colomo,M,176,80,Spain
116093,Freddy Jos Surez Herrera,M,178,75,Cuba
116094,Giovanni Marco Suarez,M,189,87,Italy
116095,Guillermo Adrian Surez Aspitarte,M,169,60,Peru
116096,Javier Amado Surez,M,166,61,Colombia
116097,Jess Surez Daz Valgrande,M,,,Spain
116098,Jonathan Fernando Surez Freitez,M,172,76,Venezuela
116099,Jorge E. Surez Vallejos,M,165,61,Argentina
116100,Jos David Surez Prez,M,186,81,Cuba
116101,Juan Domingo Surez,M,180,81,Argentina
116102,Leonel Surez Fajardo,M,181,68,Cuba
116103,Leticia Surez,F,160,56,Cuba
116104,Luis Alberto Surez Daz,M,181,81,Uruguay
116105,Manuel Surez Alberti,M,,,Cuba
116106,Manuel Surez Barrios,M,,,Cuba
116107,Manuel Surez-Pumariega Molezn,M,176,,Spain
116108,Narciso Surez Amador,M,180,79,Spain
116109,Nelson Surez,M,,,Ecuador
116110,Octavio Surez Calzadilla,M,170,67,Cuba
116111,Osvaldo Roberto Surez,M,176,65,Argentina
116112,Paola Lorena Surez,F,170,64,Argentina
116113,Rafael Surez,M,,,Venezuela
116114,Ramiro Surez Garca,M,168,54,Spain
116115,Roberto Surez,M,,,Argentina
116116,Salvador Surez Colin,M,169,60,Mexico
116117,Oscar David Suazo Velzquez,M,183,75,Honduras
116118,Julio Csar Suazo Bernrdez,M,178,65,Honduras
116119,Maynor Ren Suazo Antunez,M,180,,Honduras
116120,Ricky Achmad Subagja,M,172,62,Indonesia-2
116121,Jamie Chen Subandhi,F,163,58,United States
116122,"Pernell Karl ""PK"" Subban",M,183,98,Canada
116123,Karola Sube (-Ziesche),F,153,40,East Germany
116124,Jakob ubelj,M,,,Yugoslavia
116125,Nizam-ud-din Subhani,M,168,111,Afghanistan
116126,Guillermo Subiabre Astorga,M,171,71,Chile
116127,Antonio Subirana Castillejos,M,,,Spain
116128,Albert Subirats Altes,M,190,85,Venezuela
116129,Eduard Anatolyevich Suboch,M,,,Soviet Union
116130,Ana Suboti,F,171,54,Serbia
116131,Vaso Suboti,M,,,Serbia and Montenegro
116132,Perumal Subramanian,M,168,69,India
116133,Raman Subramanyan,M,188,72,India
116134,Michal ubrt,M,196,87,Czechoslovakia
116135,Nora Subschinski,F,159,57,Germany
116136,Antnio Salvador Sucar,M,200,100,Brazil
116137,Pierre Succar,M,,,Lebanon
116138,Andrea Succi,M,183,84,Italy
116139,Mara Beln Succi,F,177,72,Argentina
116140,Ida Such,F,162,54,Hungary
116141,Jan Such,M,183,78,Poland
116142,Martina Such,F,170,56,Slovakia
116143,Jakub Suchek,M,182,64,Czech Republic
116144,Franois Suchanecki,M,186,73,Switzerland
116145,Rudolf Suchnek,M,188,104,Czechoslovakia
116146,Vra Suchnkov,F,,,Czechoslovakia
116147,Josef Sucharda,M,,,Czechoslovakia
116148,Kanet Sucharitakul,M,170,67,Thailand
116149,Dominik Sucheski,M,181,75,Poland
116150,Mlanie Suchet,F,162,65,France
116151,Grigory Sergeyevich Suchkov,M,,,Soviet Union
116152,Milan Suchopr,M,192,89,Czechoslovakia
116153,Jan Kazimierz Suchorzewski,M,,,Poland
116154,Dominik Such,M,185,98,Czech Republic-1
116155,Jan Such,M,174,73,Czechoslovakia
116156,Radoslav Such,M,188,90,Slovakia
116157,Ioan Silviu Suciu,M,169,66,Romania
116158,Wendel D. Suckow,M,188,102,United States
116159,Kurt Sucksdorff,M,,,Sweden
116160,Soner Sucu,M,166,60,Turkey
116161,Friedrich Suda,M,176,60,Austria
116162,Kenji Suda,M,170,58,Japan
116163,Orhan Suda,M,,,Turkey
116164,Svetlana Fyodorovna Sudak-Torun,F,172,92,Belarus
116165,Marina Vladimirovna Sudakova (Yartseva-),F,165,66,Russia
116166,Attila Sudr,M,187,81,Hungary
116167,Tams Sudr,M,,,Hungary
116168,Tatyana Sudarikova,F,189,79,Kyrgyzstan
116169,I Nyoman Sudarma,M,171,74,Indonesia
116170,Maram Sudarmodjo,M,,,Indonesia
116171,I Gede Siman Sudartawa,M,,,Indonesia
116172,Bnyamin Suda,M,176,105,Turkey
116173,Andrew Hancock Sudduth,M,191,91,United States
116174,Jill Sudduth,F,172,54,United States
116175,Eri Sudewo,M,165,60,Partenope
116176,Aki Sudo,F,156,53,Japan
116177,Nikola Sudov,F,162,56,Czech Republic
116178,rka Sudov,F,160,46,Czech Republic
116179,Grzegorz Sudo,M,174,60,Poland
116180,Karl Sudrich,M,,,Austria
116181,Christi-Adrian Sudu,M,189,81,Canada
116182,Ender Petru Sudureac,M,188,96,Romania
116183,Keith Sudziarski,M,178,84,United States Virgin Islands-1
116184,Philip Sue,M,160,68,New Zealand
116185,Luis Pedro Suela Mndez,M,196,80,Spain
116186,Yuta Suenaga,M,178,72,Japan
116187,"Frederick G. ""Fred"" Suerig",M,,,Mound City Rowing Club-2
116188,Gerardo N. Suero Correa,M,177,65,Dominican Republic
116189,Taimara Suero Coronado,F,174,67,Cuba
116190,Ren Suetovius,M,182,83,East Germany
116191,Shingo Suetsugu,M,178,68,Japan
116192,Satoko Suetsuna,F,168,59,Japan-1
116193,Hayato Sueyoshi,M,173,65,Japan
116194,Patrick Suffo Kengn,M,176,83,Cameroon
116195,Kyoji Suga,M,173,61,Japan
116196,Yoshima Suga,M,160,61,Japan
116197,Sadatoshi Sugahara,M,177,73,Japan
116198,Hitoshi Sugai,M,183,96,Japan
116199,Nadezhda Sugako,F,180,79,Soviet Union
116200,Istvn Sugr,M,,,Hungary
116201,Chieko Sugawara,F,162,57,Japan
116202,Kazuhiko Sugawara,M,165,50,Japan
116203,Koichi Sugawara,M,187,87,Japan-2
116204,Risa Sugawara,F,149,42,Japan
116205,Satoshi Sugawara,M,187,87,Japan-2
116206,Takeo Sugawara,M,174,83,Japan
116207,Yasaburo Sugawara,M,167,71,Japan
116208,Noriko Sugawara-Narazaki,F,157,52,Japan
116209,Yvonne de Montfort Boyer Sugden,F,,,Great Britain
116210,Lisandro D. Sugezky,M,183,94,Argentina
116211,Tommy Sugiarto,M,175,71,Indonesia
116212,Takanori Sugibayashi,M,185,65,Japan
116213,Aiko Sugihara,F,146,35,Japan
116214,Miho Sugimori,F,156,49,Japan
116215,Teruhiro Sugimori,M,177,73,Japan
116216,Atsuko Sugimoto,F,163,67,Japan
116217,Kenyu Sugimoto,M,187,79,Japan
116218,Kimio Sugimoto,M,185,77,Japan
116219,Mika Sugimoto,F,165,100,Japan
116220,Noboru Sugimoto,M,,,Japan
116221,Sayuri Sugimoto,F,167,49,Japan
116222,Tatsuo Sugimoto,M,183,76,Japan
116223,Kuniyoshi Sugioka,M,181,70,Japan
116224,Akihito Sugisawa,M,170,64,Japan
116225,Katsuhiko Sugita,M,186,86,Japan
116226,Takeshi Sugita,M,165,68,Japan
116227,Yuichi Sugita,M,173,66,Japan
116228,Masayasu Sugitani,M,170,64,Japan
116229,Taizo Sugitani,M,170,63,Japan
116230,Toshiya Sugiuchi,M,175,82,Japan
116231,Masanori Sugiura,M,180,82,Japan
116232,Shigeo Sugiura,M,,,Japan
116233,Ai Sugiyama,F,161,56,Japan
116234,Akemi Sugiyama,F,175,63,Japan
116235,Kayoko Sugiyama,F,178,69,Japan
116236,Kento Sugiyama,M,175,83,Japan
116237,Ryuichi Sugiyama,M,168,67,Japan
116238,Sachiko Sugiyama,F,184,66,Japan
116239,Susumu Sugiyama,M,165,54,Japan
116240,Takeo Sugiyama,M,176,67,Japan
116241,Tsuneharu Sugiyama,M,175,118,Japan
116242,Wirmandi Sugriat,M,173,68,Indonesia
116243,Denis Lambert Sugrue,M,,,Ireland
116244,Mahau Camargo Suguimati,M,184,78,Brazil
116245,Fumie Suguri,F,157,45,Japan
116246,Suh Hyo-Won,F,159,54,South Korea
116247,Mojca Suhadolc,F,169,62,Slovenia
116248,Ibrahim Suhaimi,M,175,73,Malaysia
116249,Roberts Suharevs,M,184,100,Latvia
116250,Habib Suharko,M,,,Indonesia
116251,Hary Suharyadi,M,170,60,Indonesia
116252,Eckardt Suhl,M,180,74,West Germany
116253,Ari Michael Suhonen,M,185,68,Finland
116254,Otto Armas Suhonen,M,,,Finland
116255,Seppo Ilmari Suhonen,M,184,82,Finland
116256,Martin August Sophus Suhr,M,,,Denmark
116257,Erich Suhrbier,M,183,78,Germany
116258,"Wilhelm ""Willi"" Suhren",M,,,Germany
116259,Sui Baoku,M,182,72,China
116260,Sui Feifei,F,184,73,China
116261,Sui Jianshuang,F,177,51,China
116262,Sui Lu,F,153,43,China
116263,Sui Ran,M,193,96,China
116264,Sui Shengsheng,M,192,75,China
116265,Sui Xinmei,F,172,90,China
116266,"Jean Luc ""Suo"" Rosat",M,191,91,Brazil
116267,Liisa Helena Suihkonen,F,159,54,Finland
116268,Silja Suija,F,181,70,Estonia
116269,Kai Petri Suikkanen,M,188,89.5,Finland
116270,Raimo Rainer Suikkanen,M,178,79.5,Finland
116271,Jaakko Johannes Suikkari,M,180,78,Finland
116272,Pedro Suinaga,M,,,Mexico
116273,Catherine Suire,F,168,60,France
116274,Jacques Guy Suire,M,178,72,France
116275,Ella Suitiala,F,163,63,Finland
116276,Herman Suizo,M,160,51,Philippines
116277,Edita ujanov,F,190,73,Czech Republic
116278,Diana Sujew,F,166,53,Germany
116279,Krzysztof Sujka,M,178,72,Poland
116280,Vladimir ujster,M,,,Croatia
116281,Cyril Suk,M,180,80,Czech Republic-1
116282,Suk Hyun-Jun,M,190,82,South Korea
116283,Josef (Jaroslav) Suk,M,,,Czechoslovakia
116284,Slavica uka,F,175,63,Yugoslavia
116285,Sukari,M,166,54,Indonesia
116286,Siha Sukarno,M,,,Indonesia
116287,Teodors Sukatnieks,M,,,Latvia
116288,Chaiya Sukchinda,M,155,52,Thailand
116289,Davor uker,M,182,83,Yugoslavia
116290,Remigijus ukeviius,M,166,61,Lithuania
116291,Sergey Ivanovich Sukhanov,M,,,Soviet Union
116292,Alfina Sukhanova,F,160,64,Soviet Union
116293,Dmitry Vladimirovich Sukharev,M,208,108,Unified Team
116294,Mikhail Mikhaylovich Sukharev,M,188,81,Soviet Union
116295,Vladimir Georgiyevich Sukharev,M,179,76,Soviet Union
116296,Anatoly Sukharkov,M,173,64,Soviet Union
116297,Olga Leonidovna Sukharnova,F,192,94,Soviet Union
116298,Viktor Sukhikh,M,,,Unified Team
116299,Oleg Borisovich Sukhoruchenko,M,180,83,Unified Team-2
116300,Sergey Nikolayevich Sukhoruchenkov,M,176,72,Soviet Union
116301,Aleksandr Nikolayevich Sukhorukov,M,196,93,Russia
116302,Yuriy Oleksandrovych Sukhorukov,M,176,65,Ukraine
116303,Pavel Vladimirovich Sukhov,M,179,75,Russia
116304,Apinan Sukkaarphai,M,175,72,Thailand
116305,Tony Sukkar,M,,,Lebanon
116306,Nootcharin Sukkhongdumnoen,F,160,57,Thailand
116307,Jevgenijus uklinas,M,196,109,Lithuania
116308,Teresa Sukniewicz (-Kleiber),F,170,58,Poland
116309,Goran Sukno,M,188,86,Yugoslavia
116310,Sandro Sukno,M,200,93,Croatia
116311,"Grigory ""Greg"" Sukochev",M,196,86,Australia
116312,Pavel Alekseyevich Sukosyan,M,200,110,Russia
116313,Helena Sukov,F,188,68,Czechoslovakia
116314,lyas krolu,M,,,Turkey
116315,"Supanara Suksawat, Na Ayutthaya",M,190,72,Thailand
116316,Wijit Suksompong,M,167,70,Thailand
116317,Eli Sukunda,M,180,70,Canada
116318,liby krov,M,182,73,Azerbaijan
116319,Mona Coco Sulaiman,F,165,59,Philippines
116320,I Gusti Made Oka Sulaksana,M,170,70,Indonesia
116321,Tengiz Sulakvelidze,M,178,76,Soviet Union
116322,Ari Juhani Sulander,M,187,86.5,Finland
116323,Juancarlos Antonio Juan-Carlos Sulbaran,M,188,110,Netherlands
116324,Werner Slberg,M,178,73,West Germany
116325,Frantiek ulc,M,182,74,Czechoslovakia
116326,Josef ulc,M,172,67,Czechoslovakia
116327,Evija ulce (vne-),F,,,Latvia
116328,Gustav Sule,M,180,83,Estonia
116329,Niklas Sle,M,195,95,Germany
116330,Abdul Rahman Ahmed Suleiman,M,180,62,Qatar
116331,Mohamed Ahmed Suleiman,M,175,63,Qatar
116332,Servin Kudusovych Suleimanov,M,170,57,Ukraine
116333,Joanna Sulej,F,162,49,Poland
116334,Hafz Sleymanolu,M,,57.5,Turkey
116335,Muharrem Sleymanolu,M,,75,Turkey
